name,language,integration,technology,tags,threat_names
Web Application Suspicious Activity: POST Request Declined,kuery,apm,rules/apm,Data Source: APM,N/A
Web Application Suspicious Activity: Unauthorized Method,kuery,apm,rules/apm,Data Source: APM,N/A
Web Application Suspicious Activity: sqlmap User Agent,kuery,apm,rules/apm,Data Source: APM,N/A
Suspicious File Downloaded from Google Drive,eql,"endpoint,system",rules/cross-platform,"Domain: Endpoint,OS: Linux,OS: Windows,OS: macOS,Use Case: Threat Detection,Tactic: Command and Control,Data Source: System",Command and Control
Potential Non-Standard Port SSH connection,eql,endpoint,rules/cross-platform,"Domain: Endpoint,OS: Linux,Use Case: Threat Detection,Tactic: Command and Control,OS: macOS,Data Source: Elastic Defend",Command and Control
Potential Cookies Theft via Browser Debugging,eql,"endpoint,windows",rules/cross-platform,"Domain: Endpoint,OS: Linux,OS: Windows,OS: macOS,Use Case: Threat Detection,Tactic: Credential Access,Data Source: Elastic Defend",Credential Access
Active Directory Forced Authentication from Linux Host - SMB Named Pipes,eql,"endpoint,system",rules/cross-platform,"Domain: Endpoint,OS: Windows,OS: Linux,Use Case: Threat Detection,Tactic: Credential Access,Data Source: Elastic Defend,Data Source: Active Directory,Use Case: Active Directory Monitoring,Data Source: System",Credential Access
Agent Spoofing - Mismatched Agent ID,kuery,N/A,rules/cross-platform,"Use Case: Threat Detection,Tactic: Defense Evasion",Defense Evasion
Agent Spoofing - Multiple Hosts Using Same Agent,kuery,N/A,rules/cross-platform,"Use Case: Threat Detection,Tactic: Defense Evasion",Defense Evasion
WebServer Access Logs Deleted,eql,"endpoint,windows",rules/cross-platform,"Domain: Endpoint,OS: Linux,OS: Windows,OS: macOS,Use Case: Threat Detection,Tactic: Defense Evasion,Data Source: Elastic Defend,Data Source: Sysmon",Defense Evasion
Tampering of Shell Command-Line History,eql,"endpoint,auditd_manager",rules/cross-platform,"Domain: Endpoint,OS: Linux,OS: macOS,Use Case: Threat Detection,Tactic: Defense Evasion,Data Source: Elastic Defend,Data Source: Elastic Endgame,Data Source: Auditd Manager",Defense Evasion
Elastic Agent Service Terminated,eql,endpoint,rules/cross-platform,"Domain: Endpoint,OS: Linux,OS: Windows,OS: macOS,Use Case: Threat Detection,Tactic: Defense Evasion,Data Source: Elastic Defend",Defense Evasion
ROT Encoded Python Script Execution,eql,endpoint,rules/cross-platform,"Domain: Endpoint,OS: Windows,OS: macOS,Use Case: Threat Detection,Tactic: Defense Evasion,Data Source: Elastic Defend",Defense Evasion
Masquerading Space After Filename,eql,endpoint,rules/cross-platform,"Domain: Endpoint,OS: Linux,OS: macOS,Use Case: Threat Detection,Tactic: Defense Evasion,Data Source: Elastic Defend",Defense Evasion
Timestomping using Touch Command,eql,endpoint,rules/cross-platform,"Domain: Endpoint,OS: Linux,OS: macOS,Use Case: Threat Detection,Tactic: Defense Evasion,Data Source: Elastic Defend",Defense Evasion
Security Software Discovery via Grep,eql,endpoint,rules/cross-platform,"Domain: Endpoint,OS: macOS,OS: Linux,Use Case: Threat Detection,Tactic: Discovery,Resources: Investigation Guide,Data Source: Elastic Defend",Discovery
